Category,Country/ States/ Union Territories Name,Literacy Rate (Persons) - Total - 2001,Literacy Rate (Persons) - Total - 2011,Literacy Rate (Persons) - Rural - 2001,Literacy Rate (Persons) - Rural - 2011,Literacy Rate (Persons) - Urban - 2001,Literacy Rate (Persons) - Urban - 2011
Country,INDIA,64.8,73,58.7,67.8,79.9,84.1
State,Andhra Pradesh,60.5,67,54.5,60.4,76.1,80.1
State,Arunachal Pradesh,54.3,65.4,47.8,59.9,78.3,82.9
State,Assam,63.3,72.2,59.7,69.3,85.3,88.5
State,Bihar,47,61.8,43.9,59.8,71.9,76.9
State,Chhattisgarh,64.7,70.3,60.5,66,80.6,84
State,Goa,82,88.7,79.7,86.6,84.4,90
State,Gujarat,69.1,78,61.3,71.7,81.8,86.3
State,Haryana,67.9,75.6,63.2,71.4,79.2,83.1
State,Himachal Pradesh,76.5,82.8,75.1,81.9,88.9,91.1
State,Jammu & Kashmir,55.5,67.2,49.8,63.2,71.9,77.1
State,Jharkhand,53.6,66.4,45.7,61.1,79.1,82.3
State,Karnataka,66.6,75.4,59.3,68.7,80.6,85.8
State,Kerala,90.9,94,90,93,93.2,95.1
State,Madhya Pradesh,63.7,69.3,57.8,63.9,79.4,82.8
State,Maharashtra,76.9,82.3,70.4,77,85.5,88.7
State,Manipur,70.5,76.9,67.3,73.4,79.3,85.4
State,Meghalaya,62.6,74.4,56.3,69.9,86.3,90.8
State,Mizoram,88.8,91.3,81.3,84.1,96.1,97.6
State,Nagaland,66.6,79.6,62.8,75.3,84.7,89.6
State,Odisha,63.1,72.9,59.8,70.2,80.8,85.7
State,Punjab,69.7,75.8,64.7,71.4,79.1,83.2
State,Rajasthan,60.4,66.1,55.3,61.4,76.2,79.7
State,Sikkim,68.8,81.4,66.8,78.9,83.9,88.7
State,Tamil Nadu,73.5,80.1,66.2,73.5,82.5,87
State,Tripura,73.2,87.2,69.7,84.9,89.2,93.5
State,Uttar Pradesh,56.3,67.7,52.5,65.5,69.8,75.1
State,Uttarakhand,71.6,78.8,68.1,76.3,81.4,84.5
State,West Bengal,68.6,76.3,63.4,72.1,81.2,84.8
Union Territory,A & N Islands,81.3,86.6,78.7,84.5,86.6,90.1
Union Territory,Chandigarh,81.9,86,75.6,80.7,82.6,86.2
Union Territory,D & N Haveli,57.6,76.2,49.3,64.1,84.4,89.8
Union Territory,Daman & Diu,78.2,87.1,75.8,81.4,82.3,89
Union Territory,Lakshadweep,86.7,91.8,85,91.6,88.6,91.9
Union Territory,NCT of Delhi,81.7,86.2,78.1,81.9,81.9,86.3
Union Territory,Puducherry,81.2,85.8,74,80.1,84.8,88.5
