District,Longitude,Latitude
 Thane,72.9780897,19.2183307
 North Twenty Four Parganas,88.7108964,22.710047
 Bangalore,77.5945627,12.9715987
 Pune,73.8567437,18.5204303
 Mumbai Suburban,72.8751786,19.1538231
 Barddhaman,87.8614793,23.2324214
 Ahmadabad,72.5713621,23.022505
 Murshidabad,88.2801785,24.1759039
 Jaipur,75.7872709,26.9124336
 Nashik,73.7898023,19.9974533
 Surat,72.8310607,21.1702401
 Allahabad,81.846311,25.4358011
 Paschim Medinipur,87.460397,22.5045936
 Patna,85.1375645,25.5940947
 Hugli,88.3898552,22.9011588
 Rangareddy,78.3842227,17.0496831
 East Godavari,82.0407137,17.32125
 Purbi Champaran,84.8567932,26.6098139
 Purba Medinipur,87.7763333,21.9372879
 Guntur,80.4365402,16.3066525
 Haora,88.2636394,22.5957689
 Muzaffarpur,85.390982,26.1196607
 Belgaum,74.4976741,15.8496953
 Moradabad,78.7733286,28.8386481
 Ghaziabad,77.4537578,28.6691565
 Nagpur,79.0881546,21.1458004
 Chennai,80.2707184,13.0826802
 Azamgarh,83.1859495,26.0739138
 Lucknow,80.946166,26.8466937
 Kanpur Nagar,80.2321313,26.4148245
 Ahmadnagar,74.7479789,19.0948287
 Kolkata,88.363895,22.572646
 Jaunpur,82.6837033,25.7464145
 Madhubani,86.0711661,26.3482938
 Sitapur,80.6789519,27.5680156
 Bareilly,79.4304381,28.3670355
 Gorakhpur,83.3731675,26.7605545
 Agra,78.0080745,27.1766701
 Gaya,85.0002336,24.7913957
 Solapur,75.9063906,17.6599188
 Visakhapatnam,83.2184815,17.6868159
 Samastipur,85.7868233,25.8560271
 Jalgaon,75.5626039,21.0076578
 Chittoor,79.1003289,13.217176
 Vadodara,73.1812187,22.3071588
 Muzaffarnagar,77.7085091,29.4726817
 Malappuram,76.0710967,11.0509762
 Hardoi,80.1250479,27.3965071
 Anantapur,77.6005911,14.6818877
 Raipur,81.6296413,21.2513844
 Kurnool,78.0372792,15.8281257
 Mahbubnagar,78.0035172,16.7488379
 Kheri,80.7787163,27.9462395
 Kancheepuram,79.6946586,12.818456
 Maldah,88.1364591,25.0557268
 Saran,84.7380858,25.7765249
 Hyderabad,78.4772439,17.406498
 Darbhanga,85.8918454,26.1542045
 West Godavari,81.3399414,16.9174181
 Vellore,79.1324986,12.9165167
 Pashchim Champaran,84.3542049,27.1543104
 Kolhapur,74.2432527,16.7049873
 Jalpaiguri,88.7195567,26.5214579
 Rajkot,70.8021599,22.3038945
 Sultanpur,82.0659858,26.2585371
 Karimnagar,79.1288412,18.4385553
 Thiruvallur,79.9119526,13.1230558
 Aurangabad,75.3433139,19.8761653
 Jodhpur,73.0243094,26.2389469
 Bijnor,78.1350904,29.3731673
 Budaun,79.1271229,28.0311101
 Varanasi,82.9739144,25.3176452
 Alwar,76.6345735,27.5529907
 Aligarh,78.0880129,27.8973944
 North West Delhi,77.0219019,28.7306307
 Ghazipur,83.5783078,25.5877901
 Bankura,87.0783875,23.2312686
 Kushinagar,83.8869698,26.7398787
 Ganjam,85.0523356,19.3871214
 Warangal,79.5926304,17.9692624
 Birbhum,87.8402888,24.3587525
 Bulandshahar,77.8498292,28.406963
 Ludhiana,75.8572758,30.900965
 Vaishali,85.354965,25.6838206
 Nalgonda,79.2683623,17.0577054
 Bahraich,81.5976672,27.5705152
 Salem,78.1460142,11.664325
 Saharanpur,77.5552066,29.9680035
 Viluppuram,79.4861449,11.9401378
 Coimbatore,76.9558321,11.0168445
 Meerut,77.7064137,28.9844618
 Gonda,81.9618979,27.1339874
 Sitamarhi,85.5012971,26.5886976
 Rae Bareli,81.2528139,26.2144806
 Prakasam,79.560344,15.348463
 Nanded,77.3191471,19.1485289
 Durg,81.2849169,21.1904494
 Siwan,84.3599953,26.2243204
 Nagaur,73.7493272,27.1983368
 Thiruvananthapuram,76.9366376,8.5241391
 Ernakulam,76.2998842,9.9816358
 Indore,75.8577258,22.7195687
 Purnia,87.4752551,25.7771391
 Barabanki,81.1833809,26.9268042
 Ballia,84.149622,25.763119
 Pratapgarh,81.9452981,25.8973038
 Thrissur,76.2144349,10.5276416
 Banaskantha,72.3514618,24.3070289
 Unnao,80.4878195,26.5393449
 Deoria,83.7791283,26.5024286
 Kozhikode,75.78041,11.2587531
 Mumbai City,72.8776559,19.0759837
 Tirunelveli,77.765628,8.715018
 Katihar,87.5591073,25.5540648
 Udaipur,73.712479,24.585445
 Madurai,78.1197754,9.9252007
 Bhagalpur,86.9842256,25.242453
 Medak,78.2631756,18.0462192
 Uttar Dinajpur,88.050979,25.9810393
 Shahjahanpur,79.9147268,27.8753399
 Satara,74.018261,17.6804639
 Mysore,76.6393805,12.2958104
 Begusarai,86.1271542,25.4181638
 Sri Potti Sriramulu Nellore,79.9192702,14.2580848
 Rohtas,83.9201656,24.6287405
 Puruliya,86.3616405,23.3322026
 Ranchi,85.309562,23.3440997
 Amravati,77.7523039,20.9319821
 Bhavnagar,72.1519304,21.7644725
 Nalanda,85.4594749,25.1240603
 Nagaon,92.6838111,26.348009
 Sangli,74.5814773,16.8523973
 Koch Bihar,89.4482079,26.3452397
 Araria,87.4528067,26.1324689
 Palakkad,76.6547932,10.7867303
 Khammam,80.1514447,17.2472528
 Yavatmal,78.1306846,20.3899385
 Junagadh,70.4579436,21.5222203
 Adilabad,78.5320841,19.6765668
 South Delhi,77.1830243,28.470931
 Bhojpur,84.5222189,25.466155
 Tiruchirappalli,78.7046725,10.7904833
 Srikakulam,83.8938018,18.2949165
 Maharajganj,83.5621737,27.1446035
 Dhanbad,86.4303859,23.7956531
 Tumkur,77.117325,13.3378762
 Sikar,75.1397935,27.6093912
 Bilaspur,82.1409152,22.0796545
 Kollam,76.6141396,8.8932118
 Raigarh,83.3949632,21.8974003
 Fatehpur,80.7996035,25.9209503
 Cuttack,85.8829895,20.462521
 Cuddalore,79.7713687,11.7480419
 Barmer,71.3966865,25.7521467
 Buldana,76.1841701,20.5292147
 Ajmer,74.6399163,26.4498954
 Gulbarga,76.8342957,17.329731
 Gopalganj,84.4402462,26.4605776
 Siddharth Nagar,82.820974,27.2715633
 Nizamabad,78.0940867,18.6725047
 Bharatpur,77.5029996,27.2151863
 Mathura,77.673673,27.4924134
 West Delhi,77.067959,28.6663433
 Aurangabad,75.3433139,19.8761653
 Kannur,75.3703662,11.8744775
 Mayurbhanj,86.4187308,22.0086978
 Firozabad,78.3957331,27.1591961
 Amritsar,74.8722642,31.6339793
 Tiruppur,77.3410656,11.1085242
 Faizabad,82.1457934,26.7729751
 Tiruvannamalai,79.0746957,12.2252841
 Jabalpur,79.9338798,23.1685786
 Latur,76.5603828,18.4087934
 Bellary,76.9214428,15.1393932
 Giridih,86.2996368,24.19135
 Sabarkantha,72.9932969,23.8476704
 Bhilwara,74.6313183,25.3407388
 Thanjavur,79.1378274,10.7869994
 Ambedkar Nagar,82.6915429,26.3745075
 PanchMahal,73.6330166,22.7770479
 Sagar,78.8382644,23.9259385
 Bhopal,77.412615,23.2599333
 Rewa,81.3036946,24.5362477
 Bikaner,73.3119159,28.0229348
 Surguja,83.1649001,22.9494079
 Vizianagaram,83.3955506,18.1066576
 Rampur,79.0220287,28.798299
 Baleshwar,86.9134794,21.4933578
 Kheda,72.6846658,22.750651
 Gurdaspur,75.403086,32.0413917
 Purbi Singhbhum,86.4996546,22.4866756
 South West Delhi,76.9873477,28.5782932
 Erode,77.7171642,11.3410364
 Khordha,85.6222742,20.1862584
 North East Delhi,77.2577571,28.7246777
 Supaul,86.6045134,26.1233718
 Satna,80.8322428,24.6005075
 Nawada,85.5434572,24.8866859
 Mau,83.5070203,25.9904256
