States,Crops,Yield (Kg./Hectare) - 2017-18,Yield (Kg./Hectare) - 2018-19,Yield (Kg./Hectare) - 2019-20,Yield (Kg./Hectare) - 2020-21,Yield (Kg./Hectare) - 2021-22
Andhra Pradesh,Rice,3788,3729,3765,3393,3448
Assam,Rice,2171,2153,2176,2209,2236
Bihar,Rice,2447,1948,2182,2233,2299
Chhattisgarh,Rice,1311,1810,1848,1889,2027
Gujarat,Rice,2209,2279,2193,2367,2608
Haryana,Rice,3181,3121,3334,3334,3605
Himachal Pradesh,Rice,1603,1600,1980,2052,2052
Jharkhand,Rice,2350,1895,2219,1951,2012
Karnataka,Rice,3038,3012,3067,3072,3093
Kerala,Rice,2757,2920,3056,3091,3471
Madhya Pradesh,Rice,2026,1880,2370,2085,2276
Maharashtra,Rice,1882,2236,1866,2109,2137
Odisha,Rice,1739,2004,2122,2182,2311
Punjab,Rice,4366,4132,4034,4366,4336
Rajasthan,Rice,2365,2291,2189,2739,2436
Tamil Nadu,Rice,3630,3562,3760,3379,3628
Telangana,Rice,3192,3452,3694,3206,3292
Uttar Pradesh,Rice,2283,2704,2705,2733,2679
Uttarakhand,Rice,2566,2412,2665,2814,2739
West Bengal,Rice,2926,2946,2892,2958,3022
Others,Rice,2273,2155,2285,2371,2578
All India,Rice,2576,2638,2722,2717,2802
Assam,Wheat,1386,1398,1273,1379,1359
Bihar,Wheat,2905,2998,2595,2767,2573
Chhattisgarh,Wheat,1289,1548,1050,1551,1494
Gujarat,Wheat,2898,3020,3268,3205,3235
Haryana,Wheat,4412,4925,4687,4834,4298
Himachal Pradesh,Wheat,1774,1770,1970,1712,1712
Jharkhand,Wheat,2121,1847,2046,2337,2085
Karnataka,Wheat,1193,1090,1198,1291,1291
Madhya Pradesh,Wheat,2993,2993,2993,2989,3449
Maharashtra,Wheat,1657,1497,1697,1839,1950
Odisha,Wheat,2163,1815,1390,1640,1508
Punjab,Wheat,5077,5188,5003,4868,4128
Rajasthan,Wheat,3334,3501,3501,3676,3806
Telangana,Wheat,1388,1877,1842,2640,2640
