State Code,Town Code,Town Name,Total/,Age-group,Total Persons,Total Males,Total Females,Illiterate Persons,Illiterate Males,Illiterate Females,Literate Persons,Literate Males,Literate Females,Below Primary Persons,Below Primary Males,Below Primary Females,Primary Persons,Primary Males,Primary Females,Middle Persons,Middle Males,Middle Females,Matric Persons,Matric Males,Matric Females,Senior secondary Persons,Senior secondary Males,Senior secondary Females,Non-technical diploma Persons,Non-technical diploma Males,Non-technical diploma Females,technical diploma Persons,technical diploma Males,technical diploma Females,Graduate & above Persons,Graduate & above Males,Graduate & above Females,Unclassified Persons,Unclassified Males,Unclassified Females,
01,800013,Srinagar (M Corp.+OG),Urban,All ages,1206419,631830,574589,478675,215099,263576,727744,416731,311013,73735,39116,34619,85712,46325,39387,137280,78887,58393,144284,87538,56746,92605,54410,38195,490,359,131,21744,12699,9045,135783,75825,59958,4351,2421,1930,
01,800013,Srinagar (M Corp.+OG),Urban,0-6,155520,83448,72072,155520,83448,72072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
01,800013,Srinagar (M Corp.+OG),Urban,7,20577,10647,9930,5386,2755,2631,15191,7892,7299,14604,7556,7048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,114,98,
01,800013,Srinagar (M Corp.+OG),Urban,8,21146,11003,10143,3476,1736,1740,17670,9267,8403,17230,9004,8226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,84,78,
01,800013,Srinagar (M Corp.+OG),Urban,9,19661,10451,9210,2532,1317,1215,17129,9134,7995,13929,7355,6574,2807,1547,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,85,47,
01,800013,Srinagar (M Corp.+OG),Urban,10,24205,12805,11400,3463,1746,1717,20742,11059,9683,12740,6836,5904,7489,3918,3571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,101,59,
01,800013,Srinagar (M Corp.+OG),Urban,11,21582,11304,10278,2427,1239,1188,19155,10065,9090,5513,2954,2559,13210,6843,6367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,95,42,
01,800013,Srinagar (M Corp.+OG),Urban,12,22323,11612,10711,2216,1066,1150,20107,10546,9561,2125,1174,951,14428,7405,7023,3149,1706,1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,75,42,
01,800013,Srinagar (M Corp.+OG),Urban,13,20494,10601,9893,1871,866,1005,18623,9735,8888,863,458,405,10524,5546,4978,6876,3494,3382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,54,40,
01,800013,Srinagar (M Corp.+OG),Urban,14,22005,11319,10686,2123,973,1150,19882,10346,9536,398,210,188,5568,2973,2595,13531,6914,6617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,50,30,
01,800013,Srinagar (M Corp.+OG),Urban,15,23124,11842,11282,2483,1211,1272,20641,10631,10010,290,151,139,2638,1420,1218,10894,5670,5224,6401,3121,3280,0,0,0,0,0,0,0,0,0,0,0,0,88,51,37,
01,800013,Srinagar (M Corp.+OG),Urban,16,23241,11844,11397,2470,1139,1331,20771,10705,10066,226,132,94,1520,811,709,6481,3442,3039,12129,6062,6067,0,0,0,0,0,0,0,0,0,0,0,0,78,41,37,
01,800013,Srinagar (M Corp.+OG),Urban,17,20874,10646,10228,2184,960,1224,18690,9686,9004,213,110,103,1038,598,440,3475,1908,1567,13594,6856,6738,0,0,0,0,0,0,0,0,0,0,0,0,84,47,37,
01,800013,Srinagar (M Corp.+OG),Urban,18,26327,13409,12918,3506,1487,2019,22821,11922,10899,344,166,178,1194,626,568,3355,1769,1586,6381,3443,2938,9144,4612,4532,18,15,3,1859,970,889,0,0,0,98,66,32,
01,800013,Srinagar (M Corp.+OG),Urban,19,21075,10948,10127,2640,1123,1517,18435,9825,8610,410,205,205,908,595,313,2476,1308,1168,3471,1946,1525,9316,4731,4585,12,10,2,1421,779,642,0,0,0,78,47,31,
01,800013,Srinagar (M Corp.+OG),Urban,20-24,117922,60661,57261,19811,8064,11747,98111,52597,45514,1580,867,713,4557,2437,2120,14061,7861,6200,16016,9215,6801,28496,15750,12746,106,65,41,4964,2729,2235,25190,11927,13263,333,175,158,
01,800013,Srinagar (M Corp.+OG),Urban,25-29,117089,60280,56809,26444,10063,16381,90645,50217,40428,705,387,318,3397,1836,1561,14219,7849,6370,16933,10425,6508,15161,9458,5703,87,57,30,3887,2174,1713,30970,14959,16011,355,202,153,
01,800013,Srinagar (M Corp.+OG),Urban,30-34,98397,50448,47949,29393,11039,18354,69004,39409,29595,522,288,234,3142,1663,1479,11984,6970,5014,13856,8478,5378,10437,6399,4038,66,46,20,3137,1776,1361,21496,11207,10289,303,168,135,
01,800013,Srinagar (M Corp.+OG),Urban,35-39,94814,49003,45811,35859,13729,22130,58955,35274,23681,506,293,213,3174,1737,1437,11606,6862,4744,13444,8593,4851,7138,4379,2759,48,33,15,2214,1253,961,16834,9769,7065,339,185,154,
01,800013,Srinagar (M Corp.+OG),Urban,40-44,79763,43920,35843,33383,13950,19433,46380,29970,16410,381,249,132,2713,1638,1075,10026,6375,3651,12274,8569,3705,4474,3067,1407,38,33,5,1380,883,497,11751,7099,4652,292,149,143,
01,800013,Srinagar (M Corp.+OG),Urban,45-49,67747,36344,31403,31017,12456,18561,36730,23888,12842,284,180,104,2262,1391,871,8831,5792,3039,9562,6367,3195,3085,2098,987,33,29,4,987,694,293,9068,5756,3312,257,138,119,
01,800013,Srinagar (M Corp.+OG),Urban,50-54,50716,27912,22804,24984,10664,14320,25732,17248,8484,223,145,78,1506,978,528,5732,3790,1942,6865,4612,2253,2007,1401,606,24,20,4,646,474,172,6772,4645,2127,220,107,113,
01,800013,Srinagar (M Corp.+OG),Urban,55-59,39980,20056,19924,21390,7600,13790,18590,12456,6134,168,101,67,1060,638,422,3716,2330,1386,4870,3247,1623,1289,931,358,24,23,1,474,345,129,5525,3993,1532,161,79,82,
01,800013,Srinagar (M Corp.+OG),Urban,60-64,35489,19450,16039,21169,8953,12216,14320,10497,3823,162,105,57,994,699,295,2770,1922,848,3831,2863,968,965,747,218,8,7,1,334,264,70,3976,3102,874,163,88,75,
