cityCode,cityName,wellnessCentreCode,wellnessCentreName,wellnessCentreAddress,doctorCount,category,wellnessCentreContactNo,longitude,latitude
11,DELHI/NCR,999,Virtual Dispensary,NA,13,alopathic,,0,0
11,DELHI/NCR,AY40,AYURVEDIC WC JUNG PURA,NA,2,ayurvedic,011-24312213,77.24526215,28.582367
11,DELHI/NCR,AY61,Janak Puri-I (Ayurvedic),NA,2,ayurvedic,25534868,77.08933258,28.621658
11,DELHI/NCR,AY73,AYURVEDIC WC GURGAON SEC-5,NA,2,ayurvedic,0124-4064496,77.02024841,28.48208
11,DELHI/NCR,AY80,Paschim Vihar (Ayurvedic),NA,3,ayurvedic,25171213,77.11227417,28.645285
11,DELHI/NCR,AYHO,AYURVEDIC HOSPITAL LODHI ROAD,NA,1,ayurvedic,,77.2203598,28.582735
11,DELHI/NCR,D11,LAJPATNAGAR,NA,5,alopathic,011-29816439,77.23910522,28.572266
11,DELHI/NCR,D18,Pusa Road,NA,4,alopathic,"28758071, 28754318",77.18953705,28.644466
11,DELHI/NCR,D26,Tilak Nagar,NA,6,alopathic,25998900,77.09846497,28.638773
11,DELHI/NCR,D31,North Avenue,NA,7,alopathic,23094420,77.19965363,28.622715
11,DELHI/NCR,D34,Telegraph Lane,NA,4,alopathic,23326601 23318949,77.22183228,28.621157
11,DELHI/NCR,D39,Andrews Ganj,NA,5,alopathic,011-26257628,77.23143005,28.565308
11,DELHI/NCR,D41,Malviya Nagar,NA,5,alopathic,011-26671494,77.2117157,28.53425
11,DELHI/NCR,D43,"R.K.Puram I,Sec 4",NA,5,alopathic,011-26175132,77.17922974,28.56311
11,DELHI/NCR,D50,R K PURAM-III,NA,6,alopathic,,77.17342377,28.565052
11,DELHI/NCR,D53,Rajouri Garden,NA,5,alopathic,25171213,77.11227417,28.645285
11,DELHI/NCR,D63,Sadiq Nagar,NA,9,alopathic,011-26255516,77.22678375,28.554974
11,DELHI/NCR,D64,Tri Nagar,NA,3,alopathic,27385025,77.16057587,28.67423
11,DELHI/NCR,D66,Palam Colony,NA,7,alopathic,25035839,77.08592987,28.590113
11,DELHI/NCR,D67,Laxminagar,NA,11,alopathic,011-22543108 011-22466544,77.27727509,28.630802
11,DELHI/NCR,D68,Ghaziabad,NA,8,alopathic,0120-2789969,77.46369171,28.68051
11,DELHI/NCR,D73,GURGAON,NA,9,alopathic,0124-4064496,77.02132416,28.482607
11,DELHI/NCR,D77,Mayur Vihar,NA,10,alopathic,011-22751321,77.29402924,28.604736
11,DELHI/NCR,D87,Dilshad Garden ,NA,6,alopathic,22596489,77.31359863,28.68036
11,DELHI/NCR,D89,Rohini-16,NA,5,alopathic,27894403,77.11965179,28.704538
11,DELHI/NCR,D9,"Aliganj,LodiRoad1",NA,5,alopathic,24611538,77.21806335,28.580954
11,DELHI/NCR,D92,"Gurgaon, Sec-55",NA,10,alopathic,0124-2578235,77.11043549,28.426765
11,DELHI/NCR,D96,Vasant Vihar,NA,2,alopathic,011-26146573,77.16288757,28.55403
11,DELHI/NCR,HO69,HOMEOPATHIC WC RKP-III,NA,3,homeo,,77.17884827,28.554304
11,DELHI/NCR,HO78,HOMEOPATHIC WC PUSHP VIHAR,NA,1,homeo,011-29563193,77.22743988,28.523434
