Pincode,Latitude,Longitude
515004,14.7299599,77.57340479999999
127030,28.6127957,75.96954649999999
632514,13.1282466,79.2845772
131029,28.8976429,77.09098089999999
246125,30.1740583,78.7731227
132040,29.5553521,76.8144298
855106,26.5371035,88.1388989
854333,26.2806778,87.55936129999999
632515,12.9909382,79.2620294
854102,25.8947332,87.12233619999999
133102,30.2463357,76.90668289999999
852101,25.7504764,87.0024407
212207,25.5261065,81.36194019999999
680553,10.5513403,76.1638823
125037,28.9531185,75.841775
231213,24.6124891,83.2934086
851130,25.5365377,86.19043239999999
847407,26.2015772,86.2237997
132046,29.51071,76.7105632
855102,25.5424414,87.9824758
854331,26.3258222,87.4405786
123035,28.3711702,76.6297189
127025,28.755358,76.3521514
533251,16.4130149,81.7294702
131022,28.9711464,76.90668289999999
246001,30.1283038,78.8042828
132023,29.7650496,77.09098089999999
855115,26.3340163,87.9530849
854338,26.3322087,87.15226299999999
123023,27.8893483,76.0623979
854115,25.557859,87.45048880000002
854107,25.5164108,87.62604209999999
206251,26.8509089,79.63898209999999
852109,26.230698,86.8119917
635123,12.3182711,78.33301569999999
685535,9.6519628,77.1197521
125005,29.125413,75.7487779
231219,24.4263387,82.8425216
851135,25.4595335,86.1853474
851203,25.3167671,86.6409554
208002,26.5019377,80.3101684
802312,25.5515192,84.59557319999999
723129,22.8208241,86.5400674
723128,23.1773356,86.51986509999999
723127,23.1027859,86.3782198
723126,23.4636632,86.5602614
723121,23.4671204,86.72151749999999
682312,9.9287619,76.3926668
632312,12.7235265,79.10404319999999
623120,9.1907523,78.41834659999999
532312,19.1000863,84.7002041
522312,16.1221183,80.6271415
502312,17.8313064,78.8042828
412312,18.1393341,74.0711359
342312,26.9695646,72.99329689999999
332312,27.7190087,74.89749250000001
231226,24.3287266,83.2934086
231225,24.2392471,82.8855961
231224,24.1796987,82.7508963
231223,23.9386454,83.03613759999999
231222,24.101569,82.723924
231205,24.5269295,82.9716617
182312,33.11769900000001,74.8390162
822102,23.97337,84.15406589999999
822101,24.0420432,84.0907246
802210,25.4799051,84.5746243
732210,24.7246688,87.9922684
722102,23.2773076,87.0474368
722101,23.2004285,87.0724164
622104,10.3856573,78.713608
622103,10.4561172,78.67391169999999
622102,10.5266109,78.6341996
622101,10.4855987,78.72494689999999
582210,15.0617113,75.46942849999999
522102,15.8842051,80.4409967
522101,15.8770891,80.47714719999999
502210,17.5775656,77.6879696
422210,19.960531,74.10050439999999
422105,19.9716093,73.9065883
422104,19.8344325,74.24140919999999
422103,19.7415909,73.98300290000002
422102,19.9118075,73.94773839999999
422101,19.9713575,73.8338196
412210,18.6943829,74.42911350000001
392210,21.8396931,73.0995528
382210,22.9260246,72.4849861
222109,25.8161749,82.57268049999999
222105,25.6793745,82.65914649999999
221011,25.2391043,82.9725811
221010,25.3036473,82.9850994
221009,25.2751543,83.0683519
221008,25.2967147,83.025396
221007,25.3674525,83.025396
221006,25.4590997,82.8479074
221005,25.2710954,82.98241209999999
221004,25.2905771,82.95822129999999
221003,25.3643845,82.9609096
221002,25.3356842,82.97703709999999
221001,25.3254276,83.0092803
192210,33.6840791,75.1662121
762012,20.4573588,84.4592701
752012,19.9121454,85.7974141
682012,10.0086931,76.2797715
632012,12.9319571,79.1407421
492012,21.2351518,81.7021049
452012,22.6574006,75.8359645
422012,19.9871605,73.7168927
392012,21.724939,72.88699299999999
342012,26.1506222,72.9342451
302012,26.9556924,75.6882696
201206,28.809969,77.4931403
201204,28.8497207,77.55047789999999
201201,28.8561191,77.6192447
722132,23.3179097,86.9924358
572213,13.1250075,76.90668289999999
532213,18.7494827,84.0695961
522213,16.2411599,80.5549561
422213,19.9631087,73.6300729
412213,18.2230692,73.77132
382213,22.9179686,72.4139787
322213,26.8012127,76.7105632
222139,25.926962,82.669947
222138,25.6994653,82.70773539999999
802213,25.1858688,83.99558789999999
742213,24.4769806,88.1193763
722139,23.2691623,86.9323627
722138,23.0044493,87.4405786
722137,23.3752459,86.8822445
722136,23.1848941,86.8822445
851211,25.4500427,86.2767995
851210,25.43212,86.0427626
847308,26.5358616,85.83838569999999
847307,26.2797039,85.7410262
382345,23.0581151,72.6373199
502345,17.739585,77.85959629999999
205262,27.2497554,79.2225576
212620,25.7313155,80.8765205
212621,25.769811,80.7436141
212622,25.8334322,81.0092062
226201,26.9621212,80.9097127
